epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1.1837,0.83835,1.1775,0.77459,0.72188,0.77835,0.46458,1.1913,1.4832,1.0667,9.00E-05,9.00E-05,9.00E-05
43,1.1816,0.84218,1.1752,0.77237,0.72341,0.77797,0.4651,1.1925,1.4973,1.0667,8.95E-05,8.95E-05,8.95E-05
44,1.1724,0.82953,1.1754,0.77605,0.71932,0.77698,0.46514,1.1909,1.506,1.0662,8.90E-05,8.90E-05,8.90E-05
45,1.1703,0.82472,1.1686,0.77208,0.72233,0.77774,0.46612,1.1904,1.507,1.0663,8.85E-05,8.85E-05,8.85E-05
46,1.1712,0.82043,1.1679,0.77295,0.72057,0.77703,0.46692,1.1901,1.5211,1.0667,8.80E-05,8.80E-05,8.80E-05
47,1.1557,0.81791,1.1577,0.77778,0.71624,0.7777,0.46667,1.1894,1.5227,1.0659,8.75E-05,8.75E-05,8.75E-05
48,1.1599,0.82014,1.1631,0.77894,0.71625,0.77837,0.46696,1.1896,1.5133,1.0657,8.70E-05,8.70E-05,8.70E-05
49,1.1499,0.80626,1.16,0.77622,0.72046,0.77842,0.46745,1.1886,1.5024,1.0656,8.64E-05,8.64E-05,8.64E-05
50,1.1573,0.80423,1.1641,0.77671,0.72175,0.77855,0.46786,1.1887,1.5099,1.066,8.59E-05,8.59E-05,8.59E-05
51,1.1507,0.81216,1.1609,0.77874,0.7228,0.77957,0.46795,1.1889,1.5131,1.0664,8.54E-05,8.54E-05,8.54E-05
52,1.1577,0.802,1.1634,0.77833,0.72243,0.78025,0.46863,1.1884,1.504,1.0664,8.48E-05,8.48E-05,8.48E-05
53,1.1497,0.80285,1.159,0.77949,0.72154,0.78048,0.46894,1.188,1.5055,1.0665,8.42E-05,8.42E-05,8.42E-05
54,1.1437,0.79228,1.1518,0.778,0.72241,0.78013,0.46912,1.1881,1.5007,1.067,8.37E-05,8.37E-05,8.37E-05
55,1.1509,0.79889,1.1525,0.78101,0.72029,0.78131,0.46931,1.1881,1.4947,1.0672,8.31E-05,8.31E-05,8.31E-05
56,1.1347,0.78171,1.1477,0.77954,0.72178,0.78139,0.46973,1.1887,1.4843,1.0676,8.25E-05,8.25E-05,8.25E-05
57,1.1297,0.77955,1.1481,0.77442,0.72505,0.78136,0.46996,1.1886,1.4798,1.0678,8.19E-05,8.19E-05,8.19E-05
58,1.1181,0.76515,1.1404,0.77609,0.72497,0.78157,0.46988,1.1885,1.4822,1.068,8.13E-05,8.13E-05,8.13E-05
59,1.1299,0.77838,1.142,0.77641,0.72782,0.78146,0.46981,1.1888,1.4849,1.0684,8.06E-05,8.06E-05,8.06E-05
60,1.1247,0.76646,1.1401,0.77566,0.72878,0.78103,0.47001,1.1892,1.4812,1.0686,8.00E-05,8.00E-05,8.00E-05
61,1.1202,0.76604,1.1389,0.77739,0.72838,0.78127,0.46996,1.1903,1.4846,1.0695,7.94E-05,7.94E-05,7.94E-05
62,1.1167,0.7641,1.1373,0.77567,0.7298,0.78152,0.4703,1.1905,1.4825,1.07,7.88E-05,7.88E-05,7.88E-05
